iter	Logloss
0	0.1483702114
1	0.03492287208
2	0.007157725521
3	0.002507810839
4	0.00141164819
5	0.00105360288
6	0.0009016476646
7	0.0008317708185
8	0.0007894327369
9	0.0007295658958
10	0.0007262428106
11	0.0007169976776
12	0.0007126344738
13	0.0006874669204
14	0.0006869049451
15	0.0006589961982
16	0.0006550999915
17	0.0006387118741
18	0.0006358024918
19	0.0006216926422
20	0.0006187827956
21	0.0006034752698
22	0.0005879339103
23	0.0005781464758
24	0.0005651142765
25	0.0005566617164
26	0.0005562373394
27	0.0005354175995
28	0.0004994919219
29	0.0004937702456
30	0.0004870470536
31	0.0004773770594
32	0.0004762927023
33	0.0004646182145
34	0.000461623138
35	0.0004606376207
36	0.0004602501474
37	0.0004486361372
38	0.0004427452328
39	0.0004284586439
40	0.0004226628413
41	0.0004160146771
42	0.0004154507462
43	0.0004153118873
44	0.0004127113189
45	0.0004126201172
46	0.0004073716733
47	0.0004031099288
48	0.0003965603275
49	0.0003945301646
50	0.0003936646488
51	0.0003904460781
